Date	Open	High	Low	Close	Volume
2017-12-01	20.45	20.52	20.3	20.45	7933800
2017-12-04	20.49	20.74	20.4	20.58	11058600
2017-12-05	20.51	20.9	20.48	20.55	15592800
2017-12-06	20.41	20.8	20.41	20.71	8274000
2017-12-07	20.54	20.8	20.36	20.72	12967300
2017-12-08	20.79	21.1	20.74	21.02	18886800
2017-12-11	21.05	21.18	20.93	21.15	13067700
2017-12-12	21.1	21.5	20.94	21.5	23500800
2017-12-13	21.65	21.72	21.01	21.05	27138100
2017-12-14	21.1	21.1	20.75	20.97	18025500
2017-12-15	20.9	21.09	20.79	20.9	18692900
2017-12-18	20.97	21.06	20.79	20.91	18404300
2017-12-19	20.64	20.65	20.46	20.59	8259800
2017-12-20	20.6	20.72	20.56	20.7	8924800
2017-12-21	20.7	21.05	20.6	20.97	18289100
2017-12-22	20.95	21.14	20.78	21.03	9495400
2017-12-25	21.03	21.03	21.03	21.03	0
2017-12-26	21.03	21.34	20.91	21.25	8193200
2017-12-27	21.27	21.47	21.27	21.4	5441900
2017-12-28	21.4	21.45	21.23	21.28	9896000
2017-12-29	21.28	21.28	21.28	21.28	0
2018-01-02	21.33	21.75	21.17	21.69	12717900
2018-01-03	21.56	21.97	21.56	21.74	9389900
2018-01-04	21.74	21.82	21.49	21.62	9150100
2018-01-05	21.62	21.75	21.54	21.7	11510200
2018-01-08	21.7	21.7	21.49	21.66	7074000
2018-01-09	21.65	21.69	21.52	21.6	5850700
2018-01-10	21.45	21.72	21.44	21.6	5434100
2018-01-11	21.7	21.87	21.52	21.85	8663800
2018-01-12	21.69	21.94	21.46	21.6	15529600
2018-01-15	21.6	21.85	21.6	21.82	4853800
2018-01-16	21.82	22.07	21.8	21.9	9196800
2018-01-17	21.95	22.06	21.8	22.03	11318200
2018-01-18	21.92	22.08	21.84	21.92	7703100
2018-01-19	21.99	22.06	21.83	22.0	10712900
2018-01-22	21.89	21.99	21.84	21.9	9900600
2018-01-23	21.89	22.0	21.66	21.82	9624900
2018-01-24	21.96	22.03	21.62	21.89	21173700
2018-01-25	21.89	21.89	21.89	21.89	0
2018-01-26	21.91	21.93	21.71	21.88	14872900
2018-01-29	21.8	21.85	21.68	21.84	8321700
2018-01-30	21.73	22.0	21.73	21.87	12080100
2018-01-31	21.96	22.26	21.92	21.95	12252600
2018-02-01	22.03	22.52	22.03	22.23	23424100
2018-02-02	21.92	22.11	21.69	22.01	12316800
2018-02-05	21.84	22.0	21.68	21.68	12556400
2018-02-06	21.52	21.84	21.1	21.62	18958500
2018-02-07	21.68	22.03	21.48	21.62	12915900
2018-02-08	21.71	21.92	21.51	21.66	20079400
2018-02-09	21.58	21.79	21.25	21.49	17136400
2018-02-14	21.71	22.4	21.66	22.24	17857000
2018-02-15	22.24	22.45	22.22	22.3	10312600
2018-02-16	22.27	22.52	22.05	22.43	13084500
2018-02-19	22.47	22.51	22.2	22.34	2501800
2018-02-20	22.23	22.71	22.15	22.71	15588100
2018-02-21	22.78	22.82	22.37	22.4	22576300
2018-02-22	22.45	22.5	22.25	22.42	16270400
2018-02-23	22.48	22.65	21.82	21.97	32687400
2018-02-26	22.22	22.24	21.8	22.15	19128700
2018-02-27	22.25	22.35	22.05	22.22	9223300
2018-02-28	22.3	22.39	22.0	22.0	62731700
2018-03-01	22.68	22.74	22.1	22.34	20943200
2018-03-02	22.22	22.58	22.02	22.58	13813000
2018-03-05	22.4	22.82	22.38	22.52	13439700
2018-03-06	22.57	22.92	22.44	22.77	16957900
2018-03-07	22.74	23.16	22.64	23.07	13617400
2018-03-08	22.96	23.48	22.94	23.3	16683100
2018-03-09	23.35	23.55	23.24	23.44	10929200
2018-03-12	23.44	24.14	23.32	23.98	18557700
2018-03-13	24.02	24.15	23.73	23.96	8862600
2018-03-14	23.82	24.34	23.82	24.27	8575500
2018-03-15	24.06	24.3	23.8	23.88	20333500
2018-03-16	23.8	23.98	23.54	23.61	20736400
2018-03-19	23.48	23.8	23.31	23.79	9433700
2018-03-20	23.95	23.95	23.57	23.69	8410300
2018-03-21	23.62	24.07	23.56	23.89	9439300
2018-03-22	23.99	24.08	23.73	24.01	10445800
2018-03-23	23.78	24.15	23.78	23.92	8839900
2018-03-26	24.15	24.15	23.67	24.0	9371800
2018-03-27	23.96	24.07	23.68	23.84	10656100
2018-03-28	23.68	23.97	23.6	23.82	8930200
2018-03-29	23.82	24.21	23.78	24.07	12454500
2018-04-02	24.07	24.13	23.75	23.85	5557700
2018-04-03	23.9	24.2	23.87	24.2	9681500
2018-04-04	23.89	24.28	23.86	24.19	12759600
2018-04-05	24.39	24.56	24.03	24.03	12111900
2018-04-06	23.52	23.52	22.92	23.25	24189300
2018-04-09	23.06	23.47	23.06	23.29	16524900
2018-04-10	23.42	23.85	23.27	23.8	15457400
