Date	Open	High	Low	Close	Volume
2018-01-02	34.05	34.8	34.02	34.6	8420600
2018-01-03	34.56	35.03	34.36	34.74	5511500
2018-01-04	34.79	35.55	34.79	35.31	9564400
2018-01-05	35.22	35.51	34.93	35.51	6603700
2018-01-08	35.47	35.59	35.03	35.5	6464500
2018-01-09	35.5	35.5	34.96	35.17	5582100
2018-01-10	34.77	35.13	34.67	34.8	8906700
2018-01-11	34.98	35.5	34.82	35.5	6404600
2018-01-12	35.36	35.54	35.13	35.5	4983400
2018-01-15	35.55	35.75	35.41	35.75	6263600
2018-01-16	35.76	36.2	35.63	35.99	7487000
2018-01-17	36.01	36.89	35.72	36.89	7420200
2018-01-18	36.81	37.15	36.58	36.85	8850900
2018-01-19	36.97	37.24	36.67	37.11	10922500
2018-01-22	37.34	37.67	37.22	37.62	8795700
2018-01-23	37.41	38.26	37.41	37.79	19125300
2018-01-24	38.13	39.8	38.13	39.8	20832500
2018-01-25	39.8	39.8	39.8	39.8	0
2018-01-26	40.1	41.22	40.1	41.2	19435100
2018-01-29	40.9	40.92	39.83	40.0	12115100
2018-01-30	39.81	40.4	39.37	40.4	12353000
2018-01-31	41.02	41.97	40.29	40.75	18147200
2018-02-01	40.41	40.5	39.46	39.67	24279600
2018-02-02	39.14	39.28	38.15	38.42	19858100
2018-02-05	38.2	39.26	37.8	37.8	11303600
2018-02-06	37.16	38.9	37.02	38.7	32272100
2018-02-07	38.7	38.99	37.89	38.12	13527100
2018-02-08	38.25	38.87	37.32	37.65	12127800
2018-02-09	37.55	37.9	36.62	37.22	13630200
2018-02-14	37.94	38.63	37.53	38.58	14541900
2018-02-15	38.98	39.14	38.54	38.74	6765300
2018-02-16	38.82	38.9	38.5	38.67	7202000
2018-02-19	38.8	38.94	38.34	38.48	5421900
2018-02-20	38.2	39.68	38.2	39.65	11503400
2018-02-21	39.79	40.75	39.62	39.86	22079000
2018-02-22	39.99	40.5	39.78	40.1	9183700
2018-02-23	40.32	40.47	39.59	40.47	8626500
2018-02-26	40.58	40.77	40.12	40.47	7631200
2018-02-27	40.34	40.53	39.89	40.03	6793500
2018-02-28	39.98	40.03	38.77	38.77	18437000
2018-03-01	38.91	39.52	38.56	38.99	9367100
2018-03-02	38.63	39.22	38.23	39.22	7449800
2018-03-05	39.17	39.65	38.76	39.48	7112800
2018-03-06	40.05	40.05	39.54	39.55	7816400
2018-03-07	39.56	39.59	38.56	38.85	8780100
2018-03-08	39.27	39.28	38.04	38.34	9976100
2018-03-09	38.54	39.16	38.48	39.16	10566900
2018-03-12	39.35	39.48	39.06	39.47	6562900
2018-03-13	39.65	39.65	38.76	38.9	8041500
2018-03-14	38.96	39.09	38.24	38.69	7542900
2018-03-15	38.35	38.8	38.01	38.13	13319400
2018-03-16	38.16	38.68	38.05	38.23	19400400
2018-03-19	37.88	38.36	37.62	37.84	9566800
2018-03-20	38.09	38.1	37.54	37.8	7198800
2018-03-21	37.97	38.31	37.81	37.99	11189200
2018-03-22	37.95	38.53	37.76	38.22	10199900
2018-03-23	37.86	38.96	37.86	38.48	10777500
2018-03-26	39.0	39.09	38.16	38.7	8251800
2018-03-27	38.8	38.95	38.01	38.23	5707600
2018-03-28	37.9	38.64	37.8	38.48	7101800
2018-03-29	38.7	39.68	38.65	39.5	15420600
2018-04-02	35.65	36.07	35.42	35.58	8130300
2018-04-03	35.96	36.42	35.68	35.96	13571700
2018-04-04	35.59	35.82	35.01	35.65	8003000
2018-04-05	36.55	36.57	35.3	35.76	24127900
2018-04-06	35.76	35.95	35.11	35.65	8765000
2018-04-09	35.65	35.65	34.28	34.3	11476000
2018-04-10	34.59	34.8	34.05	34.59	12578300
2018-04-11	34.56	35.45	34.46	35.4	8478200
2018-04-12	35.4	35.4	34.45	34.76	18145500
2018-04-13	34.4	34.61	33.9	34.0	11086400
2018-04-16	34.08	34.16	33.09	33.26	10004900
2018-04-17	33.32	33.82	33.1	33.68	9274600
2018-04-18	33.98	34.94	33.81	34.81	24359400
2018-04-19	34.41	34.8	34.31	34.75	11938500
2018-04-20	34.37	34.72	34.16	34.26	7494500
2018-04-23	34.19	34.25	33.82	34.25	5697700
2018-04-24	34.6	34.72	34.12	34.31	7072000
2018-04-25	33.97	35.03	33.85	34.73	14525500
2018-04-26	35.02	35.21	34.22	34.73	21418500
2018-04-27	35.4	35.45	34.81	35.11	10047100
2018-04-30	35.1	35.28	34.43	34.57	8676700
2018-05-02	34.2	34.54	33.56	33.68	13114800
2018-05-03	33.61	33.78	32.84	32.97	13212400
2018-05-04	32.85	33.36	32.61	33.0	10144400
2018-05-07	32.89	33.16	32.68	32.7	10192800
2018-05-08	32.4	32.76	32.15	32.53	14094700
2018-05-09	32.64	33.0	32.3	32.79	7621800
2018-05-10	32.9	33.74	32.87	33.45	8878100
2018-05-11	33.45	33.52	32.68	32.85	9114000
2018-05-14	32.95	33.43	32.04	32.38	11745600
2018-05-15	31.7	32.59	31.43	32.19	12759000
2018-05-16	32.17	32.87	32.0	32.71	7623400
2018-05-17	32.52	32.62	31.34	31.35	18444400
2018-05-18	30.74	31.6	30.0	31.49	26297400
2018-05-21	31.55	31.82	30.85	31.04	19992700
2018-05-22	31.33	32.24	31.18	31.93	14831200
2018-05-23	31.5	31.8	31.01	31.09	11777300
2018-05-24	30.92	31.18	30.5	31.14	10497900
2018-05-25	31.28	31.31	30.16	30.52	14954800
2018-05-28	30.1	30.17	29.2	29.23	8552700
2018-05-29	29.7	30.1	29.2	29.35	12763000
2018-05-30	29.3	29.83	29.09	29.17	24615900
2018-06-01	29.6	30.24	29.12	29.88	14540600
2018-06-04	30.22	30.55	29.94	30.17	10242800
Date	Open	High	Low	Close	Volume
2018-02-26	36.8909	37.0636	36.4727	36.7909	8394320
2018-02-27	36.6727	36.8455	36.2636	36.3909	7472850
2018-02-28	36.3455	36.3909	35.2454	35.2454	20280700
2018-03-01	35.3727	35.9273	35.0546	35.4454	10303810
2018-03-02	35.1182	35.6545	34.7546	35.6545	8194780
2018-03-05	35.6091	36.0454	35.2364	35.8909	7824080
2018-03-06	36.4091	36.4091	35.9454	35.9546	8598040
2018-03-07	35.9636	35.9909	35.0546	35.3182	9658110
2018-03-08	35.7	35.7091	34.5818	34.8545	10973710
2018-03-09	35.0364	35.6	34.9818	35.6	11623590
2018-03-12	35.7727	35.8909	35.5091	35.8818	7219190
2018-03-13	36.0454	36.0454	35.2364	35.3636	8845650
2018-03-14	35.4182	35.5364	34.7636	35.1727	8297190
2018-03-15	34.8636	35.2727	34.5546	34.6636	14651340
2018-03-16	34.6909	35.1636	34.5909	34.7546	21340440
2018-03-19	34.4364	34.8727	34.2	34.4	10523480
2018-03-20	34.6273	34.6364	34.1273	34.3636	7918680
2018-03-21	34.5182	34.8273	34.3727	34.5364	12308120
2018-03-22	34.5	35.0273	34.3273	34.7454	11219890
2018-03-23	34.4182	35.4182	34.4182	34.9818	11855250
2018-03-26	35.4546	35.5364	34.6909	35.1818	9076980
2018-03-27	35.2727	35.4091	34.5546	34.7546	6278360
2018-03-28	34.4546	35.1273	34.3636	34.9818	7811980
2018-03-29	35.1818	36.0727	35.1364	35.9091	16962660
2018-04-02	35.65	36.07	35.42	35.58	8130300
2018-04-03	35.96	36.42	35.68	35.96	13571700
2018-04-04	35.59	35.82	35.01	35.65	8003000
2018-04-05	36.55	36.57	35.3	35.76	24127900
2018-04-06	35.76	35.95	35.11	35.65	8765000
2018-04-09	35.65	35.65	34.28	34.3	11476000
2018-04-10	34.59	34.8	34.05	34.59	12578300
2018-04-11	34.56	35.45	34.46	35.4	8478200
2018-04-12	35.4	35.4	34.45	34.76	18145500
2018-04-13	34.4	34.61	33.9	34.0	11086400
2018-04-16	34.08	34.16	33.09	33.26	10004900
2018-04-17	33.32	33.82	33.1	33.68	9274600
2018-04-18	33.98	34.94	33.81	34.81	24359400
2018-04-19	34.41	34.8	34.31	34.75	11938500
2018-04-20	34.37	34.72	34.16	34.26	7494500
2018-04-23	34.19	34.25	33.82	34.25	5697700
2018-04-24	34.6	34.72	34.12	34.31	7072000
2018-04-25	33.97	35.03	33.85	34.73	14525500
2018-04-26	35.02	35.21	34.22	34.73	21418500
2018-04-27	35.4	35.45	34.81	35.11	10047100
2018-04-30	35.1	35.28	34.43	34.57	8676700
2018-05-02	34.2	34.54	33.56	33.68	13114800
2018-05-03	33.61	33.78	32.84	32.97	13212400
2018-05-04	32.85	33.36	32.61	33.0	10144400
2018-05-07	32.89	33.16	32.68	32.7	10192800
2018-05-08	32.4	32.76	32.15	32.53	14094700
2018-05-09	32.64	33.0	32.3	32.79	7621800
2018-05-10	32.9	33.74	32.87	33.45	8878100
2018-05-11	33.45	33.52	32.68	32.85	9114000
2018-05-14	32.95	33.43	32.04	32.38	11745600
2018-05-15	31.7	32.59	31.43	32.19	12759000
2018-05-16	32.17	32.87	32.0	32.71	7623400
2018-05-17	32.52	32.62	31.34	31.35	18444400
2018-05-18	30.74	31.6	30.0	31.49	26297400
2018-05-21	31.55	31.82	30.85	31.04	19992700
2018-05-22	31.33	32.24	31.18	31.93	14831200
2018-05-23	31.5	31.8	31.01	31.09	11777300
2018-05-24	30.92	31.18	30.5	31.14	10497900
2018-05-25	31.28	31.31	30.16	30.52	14955100
2018-05-28	30.1	30.17	29.2	29.23	8552700
2018-05-29	29.7	30.1	29.2	29.35	12763000
2018-05-30	29.3	29.83	29.09	29.17	24615900
2018-06-01	29.6	30.24	29.12	29.88	14540600
2018-06-04	30.22	30.55	29.94	30.17	10300500
2018-06-05	29.92	30.23	28.59	28.72	15322100
2018-06-06	28.43	29.12	27.93	28.24	13894100
2018-06-07	27.57	27.83	26.45	27.74	21844100
2018-06-08	27.53	28.05	26.6	27.5	20072100
2018-06-11	27.58	27.86	26.77	26.98	10074600
2018-06-12	27.0	27.44	26.64	26.91	11913800
2018-06-13	27.09	27.09	25.86	26.36	14385600
2018-06-14	26.45	26.63	25.29	25.29	25052400
2018-06-15	25.25	25.74	24.87	25.74	33361800
2018-06-18	25.45	25.5	24.82	24.91	14280600
2018-06-19	24.72	26.57	24.69	26.2	22046700
2018-06-20	26.62	27.18	26.08	26.76	17908600
2018-06-21	26.55	26.9	25.5	25.65	13214600
2018-06-22	26.05	26.32	25.65	26.14	19945700
2018-06-25	26.35	26.42	25.44	26.1	16912500
2018-06-26	26.3	26.41	25.56	25.96	14864400
2018-06-27	25.97	26.2	25.33	25.54	12055800
2018-06-28	25.48	26.56	25.48	26.41	9844300
2018-06-29	26.63	27.03	26.36	26.9	14876200
2018-07-02	26.32	26.65	26.23	26.55	9861300
2018-07-03	26.83	27.94	26.73	27.76	13126600
2018-07-04	27.8	28.2	27.5	28.15	7869000
2018-07-05	28.28	28.29	27.41	28.09	13000500
2018-07-06	28.0	28.23	27.59	28.17	10028800
2018-07-09	28.17	28.17	28.17	28.17	0
2018-07-10	28.33	28.61	27.4	27.8	16169000
2018-07-11	27.55	28.0	27.3	27.69	12349400
2018-07-12	28.01	28.5	27.93	28.5	14872000
2018-07-13	28.4	29.19	28.27	29.07	16602500
2018-07-16	29.04	29.32	28.81	29.2	9561300
2018-07-17	29.13	30.18	29.01	30.04	13635700
2018-07-18	29.93	30.2	29.77	29.78	622900
