Date	Open	High	Low	Close	Volume
2018-01-02	16.3	16.82	16.3	16.56	5598900
2018-01-03	16.56	16.63	16.31	16.44	6533900
2018-01-04	16.52	16.65	16.45	16.5	5562100
2018-01-05	16.56	16.67	16.38	16.57	4316600
2018-01-08	16.65	16.7	16.27	16.34	3893500
2018-01-09	16.35	16.5	16.17	16.35	8896600
2018-01-10	16.22	16.3	15.82	15.95	3974100
2018-01-11	16.01	16.1	15.85	15.95	5395400
2018-01-12	15.9	16.07	15.74	16.06	2980500
2018-01-15	16.01	16.29	16.01	16.08	2075800
2018-01-16	16.12	16.18	15.9	15.97	3033600
2018-01-17	16.05	16.13	15.93	16.04	2085400
2018-01-18	16.09	16.15	15.83	15.9	4776200
2018-01-19	16.07	16.07	15.76	16.0	7182200
2018-01-22	16.01	16.02	15.65	15.73	4882300
2018-01-23	15.69	15.78	15.51	15.62	4990800
2018-01-24	15.69	16.05	15.68	15.95	6772000
2018-01-25	15.95	15.95	15.95	15.95	0
2018-01-26	16.09	16.13	15.9	16.0	9106500
2018-01-29	16.0	16.06	15.58	15.69	3364700
2018-01-30	15.69	15.73	15.54	15.72	3004300
2018-01-31	15.82	15.87	15.65	15.67	6388900
2018-02-01	15.67	15.92	15.58	15.58	5350800
2018-02-02	15.5	15.53	15.11	15.11	4583500
2018-02-05	15.2	15.39	14.88	14.88	6769500
2018-02-06	14.81	15.15	14.71	15.04	10568700
2018-02-07	15.1	15.13	14.56	14.57	7665900
2018-02-08	14.7	15.03	14.58	14.72	8742800
2018-02-09	14.71	14.89	14.5	14.72	7384900
2018-02-14	14.85	14.85	14.45	14.48	12131300
2018-02-15	14.55	14.84	14.42	14.65	20575900
2018-02-16	14.7	14.8	14.6	14.66	3346100
2018-02-19	14.75	15.0	14.57	14.85	3159200
2018-02-20	14.73	14.97	14.6	14.89	5512600
2018-02-21	14.9	15.3	14.83	15.25	9459000
2018-02-22	15.32	15.33	14.68	14.7	7978600
2018-02-23	15.0	15.0	13.79	14.73	23307600
2018-02-26	13.0	13.38	12.07	12.41	47164500
2018-02-27	12.59	13.12	12.15	12.82	67633900
2018-02-28	12.98	13.0	12.56	12.7	29841800
2018-03-01	12.83	12.9	12.52	12.58	30446100
2018-03-02	12.59	12.6	12.07	12.6	15839000
2018-03-05	12.64	12.78	12.4	12.49	10953200
2018-03-06	12.56	12.61	12.08	12.11	13096700
2018-03-07	12.18	12.3	12.03	12.27	5757200
2018-03-08	12.29	12.43	12.1	12.35	9478100
2018-03-09	12.4	12.54	12.27	12.49	6683900
2018-03-12	12.51	12.69	12.43	12.5	7317300
2018-03-13	12.65	12.85	12.5	12.74	9755900
2018-03-14	12.83	12.99	12.6	12.65	7131200
2018-03-15	12.7	12.81	12.11	12.13	10734300
2018-03-16	12.2	12.2	11.76	12.2	17071300
2018-03-19	12.05	12.27	11.99	12.14	6464000
2018-03-20	12.2	12.24	11.96	12.0	8282200
2018-03-21	12.05	12.26	11.9	12.2	6076900
2018-03-22	12.2	12.39	12.13	12.25	6437500
2018-03-23	12.16	12.4	12.01	12.06	4407700
2018-03-26	12.2	12.22	11.83	11.85	5889100
2018-03-27	11.94	12.14	11.82	12.03	8079700
2018-03-28	12.0	12.17	11.94	12.12	5721400
2018-03-29	12.02	12.57	12.02	12.5	4571900
2018-04-02	12.49	12.54	12.05	12.14	6052200
2018-04-03	12.21	12.27	11.92	12.13	4803500
2018-04-04	11.9	12.13	11.85	12.01	3788400
2018-04-05	12.19	12.3	12.15	12.24	4754300
2018-04-06	12.15	12.19	11.91	12.1	6268000
2018-04-09	12.15	12.22	11.9	12.03	7804400
2018-04-10	12.07	12.21	12.01	12.21	5037000
2018-04-11	12.2	12.33	12.11	12.25	7423400
2018-04-12	12.32	12.7	12.26	12.69	7512600
2018-04-13	12.74	12.76	12.28	12.55	5415700
2018-04-16	12.5	12.56	12.21	12.21	4750200
2018-04-17	12.08	12.43	11.8	12.15	5504100
2018-04-18	12.1	12.15	11.88	12.01	11547800
2018-04-19	12.0	12.1	11.92	12.04	4708200
2018-04-20	12.02	12.06	11.88	11.91	3153900
2018-04-23	11.91	12.12	11.87	12.12	3626900
2018-04-24	12.12	12.21	11.92	11.92	3034000
2018-04-25	11.88	11.93	11.45	11.64	6464300
2018-04-26	11.77	11.9	11.72	11.83	5755600
2018-04-27	11.94	12.04	11.85	11.99	5465000
2018-04-30	11.99	12.13	11.91	11.96	3751500
2018-05-02	11.94	11.94	11.73	11.86	6699700
2018-05-03	11.8	11.88	11.5	11.63	8407600
2018-05-04	11.55	11.89	11.4	11.79	9939200
2018-05-07	11.8	11.8	11.6	11.62	3588100
2018-05-08	11.61	11.92	11.52	11.72	5032000
2018-05-09	11.76	11.9	11.62	11.67	6872800
2018-05-10	11.73	11.97	11.7	11.94	4709700
