Date	Open	High	Low	Close	Volume
2018-01-02	5.83	6.12	5.83	6.05	19573400
2018-01-03	6.08	6.17	6.0	6.03	18650400
2018-01-04	6.08	6.32	6.08	6.25	25449900
2018-01-05	6.28	6.37	6.16	6.27	14143800
2018-01-08	6.27	6.36	6.21	6.35	11728400
2018-01-09	6.36	6.45	6.29	6.34	21606300
2018-01-10	6.29	6.41	6.22	6.36	19956000
2018-01-11	6.4	6.72	6.38	6.68	24755800
2018-01-12	6.56	6.99	6.52	6.85	37334700
2018-01-15	6.99	7.02	6.82	6.82	22725100
2018-01-16	6.79	6.94	6.67	6.67	19953100
2018-01-17	6.72	6.93	6.63	6.92	22502400
2018-01-18	6.98	6.99	6.75	6.82	17501500
2018-01-19	6.9	6.92	6.47	6.57	35517400
2018-01-22	6.57	6.68	6.52	6.62	10811500
2018-01-23	6.59	6.59	6.31	6.41	15214800
2018-01-24	6.49	6.75	6.47	6.72	23023400
2018-01-25	6.72	6.72	6.72	6.72	0
2018-01-26	6.81	6.92	6.57	6.87	27290000
2018-01-29	6.8	6.97	6.68	6.73	22493500
2018-01-30	6.69	6.88	6.66	6.83	17272600
2018-01-31	6.92	7.17	6.84	6.88	29927500
2018-02-01	6.94	7.02	6.88	6.96	16168300
2018-02-02	6.88	7.02	6.81	6.95	17952300
2018-02-05	6.9	6.92	6.59	6.59	14747900
2018-02-06	6.47	6.81	6.43	6.75	23611500
2018-02-07	6.74	6.88	6.62	6.67	17328200
2018-02-08	6.72	6.79	6.51	6.55	22145200
2018-02-09	6.64	6.7	6.42	6.62	15293600
2018-02-14	6.7	6.92	6.7	6.86	14372900
2018-02-15	7.01	7.1	6.9	7.04	20069000
2018-02-16	7.01	7.5	7.01	7.44	28269500
2018-02-19	7.59	7.85	7.52	7.77	20408300
2018-02-20	7.7	7.83	7.56	7.63	22379700
2018-02-21	7.69	8.0	7.69	7.84	21257300
2018-02-22	7.91	7.98	7.75	7.82	14830800
2018-02-23	7.87	7.92	7.7	7.91	15878500
2018-02-26	8.06	8.43	8.06	8.19	21528100
2018-02-27	8.22	8.27	7.95	8.0	17473800
2018-02-28	8.1	8.23	7.88	7.88	24181800
2018-03-01	7.99	8.17	7.89	7.98	33218800
2018-03-02	7.88	8.02	7.45	7.79	33031900
2018-03-05	7.66	8.03	7.59	7.9	21343400
2018-03-06	8.0	8.13	7.6	7.65	21687700
2018-03-07	7.73	7.82	7.47	7.81	18389600
2018-03-08	7.87	7.87	7.5	7.61	20309400
2018-03-09	7.52	7.74	7.34	7.57	19808700
2018-03-12	7.6	7.72	7.6	7.66	9834300
2018-03-13	7.72	7.82	7.62	7.62	12039700
2018-03-14	7.76	7.78	7.53	7.64	10929600
2018-03-15	7.58	7.58	7.33	7.43	19386000
2018-03-16	7.45	7.57	7.31	7.39	23487600
2018-03-19	7.3	7.37	7.14	7.17	14671100
2018-03-20	7.24	7.46	7.15	7.42	14823700
2018-03-21	7.49	7.5	7.36	7.49	9448400
2018-03-22	7.41	7.47	7.17	7.23	14832800
2018-03-23	7.15	7.26	7.08	7.1	13138000
2018-03-26	7.2	7.25	7.0	7.04	13444700
2018-03-27	7.09	7.13	6.82	6.88	14193900
2018-03-28	6.9	6.92	6.62	6.89	14021300
2018-03-29	7.01	7.2	6.93	7.14	11111300
2018-04-02	7.18	7.28	7.05	7.16	10428900
2018-04-03	7.23	7.26	7.11	7.16	9124400
2018-04-04	6.99	7.05	6.93	7.05	9332600
2018-04-05	7.25	7.55	7.21	7.51	14878900
2018-04-06	7.47	7.55	7.34	7.45	10129600
2018-04-09	7.51	7.55	7.25	7.25	11000300
2018-04-10	7.35	7.45	7.31	7.42	8525200
2018-04-11	7.35	7.54	7.32	7.42	8198500
2018-04-12	7.43	7.73	7.41	7.7	13120800
2018-04-13	7.76	7.86	7.67	7.75	11247000
2018-04-16	7.64	7.73	7.56	7.61	10063700
2018-04-17	7.68	7.9	7.66	7.83	9552800
2018-04-18	7.94	8.24	7.94	8.17	19828500
2018-04-19	8.22	8.31	8.0	8.1	12856300
2018-04-20	8.03	8.13	7.98	8.08	8634700
2018-04-23	8.08	8.09	7.95	7.99	5665800
2018-04-24	8.05	8.16	7.9	7.96	9074800
2018-04-25	7.9	8.0	7.77	7.9	6834200
2018-04-26	7.93	8.06	7.87	8.06	7230600
2018-04-27	8.07	8.13	7.88	7.96	11164600
2018-04-30	7.94	7.99	7.81	7.82	7670500
2018-05-02	7.84	7.87	7.65	7.73	8126800
2018-05-03	7.74	7.77	7.55	7.68	9920400
2018-05-04	7.63	7.92	7.63	7.8	7607900
2018-05-07	7.87	7.9	7.52	7.54	9940700
2018-05-08	7.57	7.6	7.36	7.46	10109000
2018-05-09	7.67	7.98	7.67	7.94	16262900
2018-05-10	8.0	8.28	7.97	8.12	20285000
2018-05-11	8.15	8.24	7.93	8.0	10842700
2018-05-14	8.07	8.2	7.93	8.04	10374900
2018-05-15	7.96	7.99	7.8	7.95	8418700
2018-05-16	8.0	8.2	7.97	8.16	11579900
2018-05-17	8.12	8.27	7.98	8.09	12002400
2018-05-18	7.98	8.1	7.83	8.05	11088600
2018-05-21	8.14	8.18	7.8	7.85	10554000
2018-05-22	7.87	7.93	7.67	7.76	10145600
2018-05-23	7.64	7.71	7.54	7.68	8587400
2018-05-24	7.5	7.65	7.47	7.54	12692800
2018-05-25	7.58	7.6	7.09	7.19	14807200
2018-05-28	7.0	7.05	6.6	6.65	15619900
2018-05-29	6.83	7.0	6.71	6.81	18297700
2018-05-30	6.88	6.89	6.58	6.81	13901900
2018-06-01	6.93	7.18	6.7	7.08	15443500
2018-06-04	7.19	7.24	7.02	7.19	8625200
Date	Open	High	Low	Close	Volume
2018-02-26	8.06	8.43	8.06	8.19	21528100
2018-02-27	8.22	8.27	7.95	8.0	17473800
2018-02-28	8.1	8.23	7.88	7.88	24181800
2018-03-01	7.99	8.17	7.89	7.98	33218800
2018-03-02	7.88	8.02	7.45	7.79	33031900
2018-03-05	7.66	8.03	7.59	7.9	21343400
2018-03-06	8.0	8.13	7.6	7.65	21687700
2018-03-07	7.73	7.82	7.47	7.81	18389600
2018-03-08	7.87	7.87	7.5	7.61	20309400
2018-03-09	7.52	7.74	7.34	7.57	19808700
2018-03-12	7.6	7.72	7.6	7.66	9834300
