Date	Open	High	Low	Close	Volume
2018-01-02	42.8	43.88	42.8	43.88	11100600
2018-01-03	43.9	44.34	43.57	44.18	14863800
2018-01-04	44.25	45.3	44.25	45.1	15481700
2018-01-05	45.12	45.32	44.6	45.23	10478300
2018-01-08	45.06	45.32	44.78	45.08	8472100
2018-01-09	44.96	45.0	44.41	44.59	14272000
2018-01-10	44.38	44.6	44.16	44.44	9067700
2018-01-11	44.7	45.37	44.6	45.37	10364300
2018-01-12	45.16	45.42	44.97	45.33	6854900
2018-01-15	45.49	45.62	45.41	45.61	7275800
2018-01-16	45.5	46.23	45.45	46.03	8756700
2018-01-17	46.01	46.95	45.81	46.79	9612600
2018-01-18	46.7	47.12	46.48	46.68	8660600
2018-01-19	46.9	47.18	46.63	47.06	7388700
2018-01-22	47.06	48.23	46.97	48.23	11913100
2018-01-23	48.0	48.49	47.91	48.05	16564500
2018-01-24	48.44	50.43	48.4	50.37	14738100
2018-01-25	50.37	50.37	50.37	50.37	0
2018-01-26	51.2	53.12	51.01	52.9	31624400
2018-01-29	52.64	52.86	51.69	51.69	22086900
2018-01-30	51.4	51.73	50.8	51.49	16963500
2018-01-31	52.15	53.06	52.11	52.26	13985900
2018-02-01	51.84	52.96	51.55	52.51	17167000
2018-02-02	51.66	51.97	51.22	51.85	12140200
2018-02-05	51.27	52.3	50.03	50.03	15449600
2018-02-06	49.98	52.26	49.96	51.83	59151400
2018-02-07	51.93	52.11	50.56	50.6	18294000
2018-02-08	50.95	51.55	50.0	50.35	15016000
2018-02-09	50.2	50.79	49.55	50.48	17405200
2018-02-14	51.51	52.81	51.2	52.66	14618000
2018-02-15	53.01	53.29	52.61	52.67	27104200
2018-02-16	50.7	50.84	50.3	50.83	36090600
2018-02-19	50.83	51.12	50.23	50.43	5509500
2018-02-20	50.3	51.94	50.2	51.67	17253000
2018-02-21	51.97	53.25	51.97	52.35	19082300
2018-02-22	52.75	53.19	52.26	52.64	11437400
2018-02-23	53.23	53.23	51.87	53.0	14823500
2018-02-26	53.2	53.34	52.6	52.94	11547800
2018-02-27	52.71	53.08	52.0	52.15	7709900
2018-02-28	52.03	52.25	50.38	50.38	28368400
2018-03-01	50.6	51.5	50.39	51.11	14810200
2018-03-02	50.82	51.38	50.23	51.38	10396700
2018-03-05	51.38	52.25	50.92	52.11	8661800
2018-03-06	52.55	52.94	51.92	51.92	9042200
2018-03-07	51.8	51.91	51.02	51.85	9720000
2018-03-08	52.5	52.67	51.06	51.49	9237300
2018-03-09	51.54	52.24	51.31	52.2	9094000
2018-03-12	52.34	52.85	52.13	52.79	6722900
2018-03-13	52.79	52.91	52.05	52.36	6359100
2018-03-14	52.4	52.5	51.05	51.19	11258200
2018-03-15	51.0	51.69	50.61	51.43	13052400
2018-03-16	51.58	52.07	50.91	51.22	19893400
2018-03-19	50.82	51.2	49.96	50.12	11384400
2018-03-20	50.35	50.5	49.58	50.28	6029000
2018-03-21	50.31	50.42	49.86	50.08	16642300
2018-03-22	50.0	50.4	49.46	49.92	12497500
2018-03-23	49.6	50.96	49.52	50.16	15850900
2018-03-26	50.75	50.99	49.98	50.78	6950800
2018-03-27	51.0	51.2	49.81	50.17	6705700
2018-03-28	49.63	50.66	49.63	50.63	7926400
2018-03-29	50.91	51.86	50.76	51.31	18563200
2018-04-02	51.24	51.76	50.67	51.05	8551900
2018-04-03	51.4	51.6	50.46	50.57	9358500
2018-04-04	49.85	51.11	49.51	50.9	9911300
2018-04-05	52.18	52.27	50.91	51.0	13820000
2018-04-06	51.04	51.32	50.38	51.25	7224100
2018-04-09	51.39	51.39	49.96	50.11	10579100
2018-04-10	50.54	50.69	49.89	50.36	8831200
2018-04-11	50.31	51.21	50.26	51.19	6887000
2018-04-12	51.36	51.7	50.89	51.64	6016100
2018-04-13	51.55	51.62	50.26	50.44	9831900
2018-04-16	50.34	50.79	49.62	49.7	12590100
2018-04-17	49.82	50.81	49.65	50.52	7929900
2018-04-18	51.1	52.0	51.03	51.48	15190300
2018-04-19	51.3	51.54	50.66	51.0	8754000
2018-04-20	50.74	51.05	50.41	50.89	5770200
2018-04-23	50.64	50.98	50.15	50.98	6771600
2018-04-24	51.4	51.59	50.48	50.73	8082600
2018-04-25	50.22	50.74	49.94	50.43	9472400
2018-04-26	50.88	51.77	50.75	51.6	9687100
2018-04-27	51.92	52.1	51.3	51.5	9080600
2018-04-30	51.51	51.73	50.67	51.01	6326500
2018-05-02	50.17	50.3	48.49	48.7	22347700
2018-05-03	48.75	49.07	47.64	47.74	14905100
2018-05-04	47.55	47.93	47.18	47.18	15164600
2018-05-07	47.4	47.86	47.0	47.25	10438400
2018-05-08	47.3	47.85	46.9	47.4	10388700
2018-05-09	47.61	47.95	47.04	47.55	9949600
2018-05-10	47.91	48.97	47.71	48.85	11600700
2018-05-11	48.72	49.1	47.92	48.07	7816300
2018-05-14	48.4	48.64	46.98	47.35	10833200
2018-05-15	46.2	47.6	46.1	47.17	11322300
2018-05-16	47.32	48.26	47.24	47.99	8342100
2018-05-17	47.85	47.85	45.37	45.48	22626600
2018-05-18	44.51	45.16	43.92	45.16	39901000
2018-05-21	45.76	45.97	44.12	44.54	17255300
2018-05-22	45.0	46.27	44.72	45.62	21946300
2018-05-23	45.0	45.47	44.69	44.76	20499200
2018-05-24	44.34	45.38	43.96	45.35	16432700
2018-05-25	45.69	45.7	44.62	44.95	11294200
2018-05-28	44.49	44.53	42.87	43.05	13184300
2018-05-29	43.48	43.87	42.66	42.9	20260100
2018-05-30	42.9	43.4	42.47	42.98	24643300
2018-06-01	43.51	44.15	42.69	43.82	15498800
2018-06-04	44.31	44.99	44.3	44.77	15364000
Date	Open	High	Low	Close	Volume
2018-02-26	53.2	53.34	52.6	52.94	11547800
2018-02-27	52.71	53.08	52.0	52.15	7709900
2018-02-28	52.03	52.25	50.38	50.38	28368400
2018-03-01	50.6	51.5	50.39	51.11	14810200
2018-03-02	50.82	51.38	50.23	51.38	10396700
2018-03-05	51.38	52.25	50.92	52.11	8661800
2018-03-06	52.55	52.94	51.92	51.92	9042200
2018-03-07	51.8	51.91	51.02	51.85	9720000
2018-03-08	52.5	52.67	51.06	51.49	9237300
2018-03-09	51.54	52.24	51.31	52.2	9094000
2018-03-12	52.34	52.85	52.13	52.79	6722900
2018-03-13	52.79	52.91	52.05	52.36	6359100
2018-03-14	52.4	52.5	51.05	51.19	11258200
2018-03-15	51.0	51.69	50.61	51.43	13052400
2018-03-16	51.58	52.07	50.91	51.22	19893400
2018-03-19	50.82	51.2	49.96	50.12	11384400
2018-03-20	50.35	50.5	49.58	50.28	6029000
2018-03-21	50.31	50.42	49.86	50.08	16642300
2018-03-22	50.0	50.4	49.46	49.92	12497500
2018-03-23	49.6	50.96	49.52	50.16	15850900
2018-03-26	50.75	50.99	49.98	50.78	6950800
2018-03-27	51.0	51.2	49.81	50.17	6705700
2018-03-28	49.63	50.66	49.63	50.63	7926400
2018-03-29	50.91	51.86	50.76	51.31	18563200
2018-04-02	51.24	51.76	50.67	51.05	8551900
2018-04-03	51.4	51.6	50.46	50.57	9358500
2018-04-04	49.85	51.11	49.51	50.9	9911300
2018-04-05	52.18	52.27	50.91	51.0	13820000
2018-04-06	51.04	51.32	50.38	51.25	7224100
2018-04-09	51.39	51.39	49.96	50.11	10579100
2018-04-10	50.54	50.69	49.89	50.36	8831200
2018-04-11	50.31	51.21	50.26	51.19	6887000
2018-04-12	51.36	51.7	50.89	51.64	6016100
2018-04-13	51.55	51.62	50.26	50.44	9831900
2018-04-16	50.34	50.79	49.62	49.7	12590100
2018-04-17	49.82	50.81	49.65	50.52	7929900
2018-04-18	51.1	52.0	51.03	51.48	15190300
2018-04-19	51.3	51.54	50.66	51.0	8754000
2018-04-20	50.74	51.05	50.41	50.89	5770200
2018-04-23	50.64	50.98	50.15	50.98	6771600
2018-04-24	51.4	51.59	50.48	50.73	8082600
2018-04-25	50.22	50.74	49.94	50.43	9472400
2018-04-26	50.88	51.77	50.75	51.6	9687100
2018-04-27	51.92	52.1	51.3	51.5	9080600
2018-04-30	51.51	51.73	50.67	51.01	6326500
2018-05-02	50.17	50.3	48.49	48.7	22347700
2018-05-03	48.75	49.07	47.64	47.74	14905100
2018-05-04	47.55	47.93	47.18	47.18	15164600
2018-05-07	47.4	47.86	47.0	47.25	10438400
2018-05-08	47.3	47.85	46.9	47.4	10388700
2018-05-09	47.61	47.95	47.04	47.55	9949600
2018-05-10	47.91	48.97	47.71	48.85	11600700
2018-05-11	48.72	49.1	47.92	48.07	7816300
2018-05-14	48.4	48.64	46.98	47.35	10833200
2018-05-15	46.2	47.6	46.1	47.17	11322300
2018-05-16	47.32	48.26	47.24	47.99	8342100
2018-05-17	47.85	47.85	45.37	45.48	22626600
2018-05-18	44.51	45.16	43.92	45.16	39901000
2018-05-21	45.76	45.97	44.12	44.54	17255300
2018-05-22	45.0	46.27	44.72	45.62	21946300
2018-05-23	45.0	45.47	44.69	44.76	20499200
