Date	Open	High	Low	Close	Volume
2018-01-02	15.02	15.24	14.94	15.13	2159800
2018-01-03	15.04	15.47	14.99	15.35	2603700
2018-01-04	15.35	15.65	15.21	15.25	3734300
2018-01-05	15.25	15.53	15.17	15.47	2807100
2018-01-08	15.48	15.52	15.16	15.16	4077900
2018-01-09	15.18	15.35	14.9	15.25	3272800
2018-01-10	15.2	15.28	15.1	15.28	2128800
2018-01-11	15.29	15.63	15.29	15.52	5548200
2018-01-12	15.49	15.6	15.37	15.49	1345300
2018-01-15	15.47	15.77	15.47	15.54	1253900
2018-01-16	15.71	15.73	15.42	15.5	2298100
2018-01-17	15.75	15.9	15.56	15.75	2181400
2018-01-18	15.8	16.1	15.5	15.5	3923400
2018-01-19	15.55	15.78	15.47	15.5	2164200
2018-01-22	15.59	15.61	15.15	15.25	1313200
2018-01-23	15.29	15.29	14.85	15.04	1725700
2018-01-24	15.29	15.5	15.19	15.27	3450900
2018-01-25	15.27	15.27	15.27	15.27	0
2018-01-26	15.47	15.65	15.24	15.42	4193600
2018-01-29	15.38	15.57	15.24	15.36	2084500
2018-01-30	15.25	15.5	15.11	15.25	1501300
2018-01-31	15.43	15.46	15.15	15.15	3672700
2018-02-01	15.16	15.44	15.16	15.25	1950500
2018-02-02	15.15	15.39	14.91	15.2	4487100
2018-02-05	14.82	15.07	14.67	15.0	3750700
2018-02-06	14.73	15.06	14.57	15.06	3983800
2018-02-07	15.06	15.18	14.75	14.86	2647500
2018-02-08	14.89	15.17	14.75	14.98	2871600
2018-02-09	14.87	15.2	14.63	14.92	2789000
2018-02-14	15.2	15.52	15.16	15.42	2806600
2018-02-15	15.45	15.7	15.34	15.37	2530100
2018-02-16	15.4	15.5	15.2	15.45	2488800
2018-02-19	15.54	15.63	15.4	15.59	1319700
2018-02-20	15.61	15.69	15.34	15.48	1829900
2018-02-21	15.48	15.7	15.39	15.44	2899800
2018-02-22	15.46	15.52	15.27	15.3	2963100
2018-02-23	15.4	15.5	15.11	15.34	3293200
2018-02-26	15.49	15.64	15.39	15.5	2809100
2018-02-27	15.29	15.48	15.15	15.3	2709300
2018-02-28	15.21	15.44	15.11	15.18	2590600
2018-03-01	15.23	15.44	15.14	15.28	2344500
2018-03-02	15.24	15.38	15.16	15.28	2499400
2018-03-05	15.3	15.36	15.2	15.28	2266800
2018-03-06	15.35	15.5	15.06	15.13	3092600
2018-03-07	15.17	15.18	14.81	14.93	3483100
2018-03-08	14.99	15.1	14.84	14.94	13830400
2018-03-09	15.11	15.58	15.1	15.43	4332800
2018-03-12	15.56	15.9	15.54	15.78	2891000
2018-03-13	15.91	16.42	15.91	16.22	5901100
2018-03-14	16.45	16.67	16.3	16.65	3096200
